gloss_en,freq,proper_usage,proper_count,nonproper_count,suggested_ko,notes
Gilead,135,yes,135,0,길르앗,고유명사
evening,135,no,0,135,저녁,
young bull,134,no,0,134,수송아지,
lest,134,no,0,134,…하지 않도록/염려하건대,
bury,134,no,0,134,묻다/장사하다,
bind,134,no,0,134,묶다,
we,132,no,0,132,우리,
rebel,132,no,0,132,반역하다,
bone,132,no,0,132,뼈,
holy,131,no,0,131,거룩한,
cease,131,no,0,131,그치다/그만두다,
front,130,no,0,130,앞/전면,
fat,130,no,0,130,기름/살찐,
account,129,no,0,129,보고/계정,
trustworthiness,128,no,0,128,신실함/성실,
be ashamed,128,no,0,128,부끄러워하다,
fruit,127,no,0,127,열매,
tongue,126,no,0,126,혀/언어,
arrange,126,no,0,126,배열하다/정돈하다,
wash,125,no,0,125,씻다,
strong,125,no,0,125,강한/강력한,
run,125,no,0,125,달리다/달려가다,
opposite,125,no,0,125,맞은편/반대편,
distance,125,no,0,125,거리,
wing,123,no,0,123,날개,
young ram,122,no,0,122,어린 숫양,
poor,122,no,0,122,가난한/가난한 자,
tear,121,no,0,121,눈물,
sign,121,no,0,121,표징/표적,
pure,121,no,0,121,정결한/순수한,
abomination,121,no,0,121,가증한 것/가증함,
right,120,no,0,120,오른편,정규화 적용
cloud,120,no,0,120,구름,
knowledge,119,no,0,119,지식,
corner,119,no,0,119,모퉁이/구석,
well,118,no,0,118,우물,
joy,118,no,0,118,기쁨,
kingship,117,no,0,117,왕권,
dream,117,no,0,117,꿈,
speak as prophet,116,no,0,116,예언하다,
weep,115,no,0,115,울다,
sister,115,no,0,115,자매/누이,
offering,115,no,0,115,제물/제사물,
divide,115,no,0,115,나누다/가르다,
be dry,115,no,0,115,마르다/건조하다,
salvation,114,no,0,114,구원,
Isaac,114,yes,114,0,이삭,고유명사 음역/관습 표기 확인
be heavy,114,no,0,114,무겁다,
Samaria,113,yes,113,0,사마리아,고유명사 음역/관습 표기 확인
reproach,113,no,0,113,수치/비방,
lion,113,no,0,113,사자,
failure,113,no,0,113,실패,
sabbath,112,no,0,112,안식일,
rain,112,no,0,112,비/비가 오다,
food,112,no,0,112,음식/양식,
forget,111,no,0,111,잊다,
Absalom,110,yes,110,0,압살롬,고유명사 음역/관습 표기 확인
"repent, console",109,no,0,109,회개하다/위로하다,다의어
hunger,109,no,0,109,굶주림/기근,
sojourner,108,no,0,108,거류민/나그네,
anger,108,no,0,108,분노/진노,
Ammon,107,yes,107,0,암몬,고유명사 음역/관습 표기 확인
breath,106,no,0,106,호흡,
be evil,106,no,0,106,악하다,
small,105,no,0,105,작은/작다,
regulation,105,no,0,105,규례/법도,
plunder,105,no,0,105,노략질/약탈,
Jeroboam,105,yes,105,0,여로보암,고유명사 음역/관습 표기 확인
continuity,105,no,0,105,계속/연속,
breadth,105,no,0,105,너비/폭,
skin,104,no,0,104,피부/가죽,
sight,104,no,0,104,목전/눈앞,
redeem,104,no,0,104,속량하다/구속하다,
humble,104,no,0,104,겸손한/낮추다,
adversary,104,no,0,104,대적/원수,
where,103,no,0,103,어디/어디에,
splendour,103,no,0,103,영광/광채,
goat,103,no,0,103,염소,
wild animal,101,no,0,101,들짐승,
motive,101,no,0,101,동기/의도,
Edom,101,yes,101,0,에돔,고유명사 음역/관습 표기 확인
neck,100,no,0,100,목/목덜미,
curtain,100,no,0,100,휘장/장막 휘장,
seventh,99,no,0,99,일곱째,
remainder,99,no,0,99,남은 자/나머지,
reject,99,no,0,99,버리다/거절하다,
palace,99,no,0,99,궁전,
length,99,no,0,99,길이,
idol,99,no,0,99,우상,
arm,99,no,0,99,팔,
song,98,no,0,98,노래/찬송,
purchase,98,no,0,98,사다/매입하다,
pray,98,no,0,98,기도하다,
iron,98,no,0,98,철,
Esau,98,yes,98,0,에서,고유명사 음역/관습 표기 확인
clothe,98,no,0,98,입히다/입다,
be sated,98,no,0,98,배부르다/만족하다,
tremble,97,no,0,97,떨다,
together,97,no,0,97,함께,
pleasure,97,no,0,97,기쁨/즐거움,
he-ass,97,no,0,97,수나귀,
guilt,97,no,0,97,죄책/허물,
counsel,97,no,0,97,계략/조언,
rule,96,no,0,96,다스리다/통치하다,
couch,96,no,0,96,침상/침대,
pierced,95,no,0,95,꿰뚫린/상한,
Nebuchadnezzar,94,yes,94,0,느부갓네살,고유명사 음역/관습 표기 확인
fornicate,94,no,0,94,음행하다,
Canaan,94,yes,94,0,가나안,고유명사 음역/관습 표기 확인
Ahab,94,yes,94,0,아합,고유명사 음역/관습 표기 확인
vow,93,no,0,93,서원/서약,
vineyard,93,no,0,93,포도원,
oppress,93,no,0,93,압제하다/억압하다,
how,93,no,0,93,어떻게/어찌,
door,93,no,0,93,문,
cry of joy,93,no,0,93,환호/기쁨의 외침,
shekel,92,no,0,92,세겔,
close,92,no,0,92,닫다,
cherub,92,no,0,92,그룹,천상 존재
bow,92,no,0,92,활,
be desolate,92,no,0,92,황폐하다,
shoulder,91,no,0,91,어깨,
path,90,no,0,90,길/오솔길,
meet,90,no,0,90,만나다,
insolent,90,no,0,90,오만한/거만한,
unclean,89,no,0,89,부정한,
shield,89,no,0,89,방패,
Hizkiah,89,yes,89,0,히스기야,고유명사 음역/관습 표기 확인
support,88,no,0,88,지지/버팀/받치다,
male,88,no,0,88,수컷/남자,
final offer,88,no,0,88,최후의 제의,
Amorite,88,no,0,88,아모리,고유명사
vision,87,no,0,87,환상/묵시,
violence,87,no,0,87,폭력/강포,
lot,87,no,0,87,제비/제비뽑기,
learn,87,no,0,87,배우다,
have compassion,87,no,0,87,불쌍히 여기다/긍휼히 여기다,
advise,87,no,0,87,조언하다/권고하다,
third,86,no,0,86,셋째,
remote,86,no,0,86,먼/먼곳,
pit,86,no,0,86,구덩이/웅덩이,
next day,86,no,0,86,이튿날/다음 날,
Jehoshaphat,85,yes,85,0,여호사밧,고유명사 음역/관습 표기 확인
harvest,85,no,0,85,추수/수확,
commotion,85,no,0,85,소동/소란,
belly,85,no,0,85,배/복부,
<prophet>,85,yes,85,0,<선지자>,고유명사 음역/관습 표기 확인
reminder,84,no,0,84,기념/기념물,
supply,83,no,0,83,공급/공급하다,
Jewish,83,no,0,83,유대인의/유대인,
Jehonathan,83,yes,83,0,여호나단,고유명사 음역/관습 표기 확인
grave,83,no,0,83,무덤/묘,
Daniel,83,yes,83,0,다니엘,고유명사 음역/관습 표기 확인
buy,83,no,0,83,사다,
be slight,83,no,0,83,가볍다/경시되다,
understanding,82,no,0,82,명철/이해,
sprout,82,no,0,82,싹/돋아나다,
hill,82,no,0,82,언덕/산,
hasten,82,no,0,82,서두르다/빨리 가다,
stroke,81,no,0,81,치기/타격,
sell,81,no,0,81,팔다,
distress,81,no,0,81,환난/고난,
be awake,81,no,0,81,깨어 있다,
bullock,80,no,0,80,수소/황소,
become weak,80,no,0,80,약해지다,
be lowly,80,no,0,80,낮다/비천하다,
alas,80,no,0,80,아아!/슬프다,
trembling,79,no,0,79,떨림/전율,
table,79,no,0,79,상/식탁,
spread out,79,no,0,79,펼치다/펼쳐지다,
ride,79,no,0,79,타다/말타다,
nine,79,no,0,79,아홉,
guard-post,79,no,0,79,파수대/초소,
contribution,79,no,0,79,기여/헌물,
prayer,78,no,0,78,기도,
hurt,78,no,0,78,상하게 하다/해치다,
favour,78,no,0,78,은총/은혜,
witness,77,no,0,77,증인/증거,
near,77,no,0,77,가까운/가까이,
cut off,77,no,0,77,끊다/끊어지다,
sanctuary,76,no,0,76,성소,
sunrise,75,no,0,75,해돋이/일출,
sela,75,no,0,75,셀라,시편 표기
ram,75,no,0,75,숫양,
corpse,75,no,0,75,시체/주검,
cedar,74,no,0,74,백향목/향백나무,
Canaanite,74,no,0,74,가나안 사람,
be miraculous,74,no,0,74,기이하다/기적을 행하다,
youth,73,no,0,73,청년,정규화 적용
Reuben,73,yes,73,0,르우벤,고유명사 음역/관습 표기 확인
reed,73,no,0,73,갈대,
mighty,73,no,0,73,강한/강대한,
lamp,73,no,0,73,등불/등,
Hebron,73,yes,73,0,헤브론,고유명사 음역/관습 표기 확인
Gad,73,yes,73,0,갓,고유명사 음역/관습 표기 확인
err,73,no,0,73,잘못하다/방황하다,
Elijah,73,yes,73,0,엘리야,고유명사 음역/관습 표기 확인
Eleazar,73,yes,73,0,엘르아살,고유명사 음역/관습 표기 확인
contend,73,no,0,73,다투다/싸우다,
Bethel,73,yes,73,0,벧엘,고유명사 음역/관습 표기 확인
quake,72,no,0,72,흔들리다/진동하다,
look at,72,no,0,72,바라보다,
Lebanon,72,yes,72,0,레바논,고유명사 음역/관습 표기 확인
blessing,72,no,0,72,복/축복,
birds,72,no,0,72,새들/새,
strange,71,no,0,71,이방/이상한,
share,71,no,0,71,몫/분깃을 나누다,
lodge,71,no,0,71,유숙하다/머물다,
labour,71,no,0,71,수고/노동,
Dan,71,yes,71,0,단,고유명사 음역/관습 표기 확인
cord,71,no,0,71,끈/줄,
cistern,71,no,0,71,수조/저수 구덩이,
spoil,70,no,0,70,전리품/약탈하다,
smear,70,no,0,70,바르다/칠하다,
Sheba,70,yes,70,0,스바,고유명사 음역/관습 표기 확인
net,70,no,0,70,그물,
grace,70,no,0,70,은혜,
east,70,no,0,70,동쪽,
draw,70,no,0,70,끌다/끌어내다,
young man,69,no,0,69,청년/젊은이,
Shechem,69,yes,69,0,세겜,고유명사
scatter,69,no,0,69,흩다/흩어지게 하다,
rebuke,69,no,0,69,책망/꾸짖다,
nakedness,69,no,0,69,하체/벌거벗음,레위기 관용: 하체를 범하다
give drink,69,no,0,69,마시우다/물을 마시게 하다,
disk,69,no,0,69,원반/판,
covering,69,no,0,69,덮개,
wood,68,no,0,68,목재/나무,
watch,68,no,0,68,지키다/감시하다,
run away,68,no,0,68,도망치다,
heal,68,no,0,68,고치다/치유하다,
girl,68,no,0,68,소녀/처녀,
disperse,68,no,0,68,흩어지다/분산시키다,
Abimelech,68,yes,68,0,아비멜렉,고유명사
vigorous man,67,no,0,67,용사,gibbor
restrain,67,no,0,67,억제하다/자제하다,
prosper,67,no,0,67,형통하다/번영하다,
official,67,no,0,67,관리/관원,
land property,67,no,0,67,토지 소유/기업지,
he-goat,67,no,0,67,숫염소,
flow,67,no,0,67,흐르다/흘러나오다,
division,67,no,0,67,분할/구획,
crush,67,no,0,67,부수다/짓부수다,
be angry,67,no,0,67,노하다/분노하다,
what is good,66,no,0,66,선한 것/무엇이 선한가,
rise early,66,no,0,66,일찍 일어나다,
prevail,66,no,0,66,이기다/우세하다,
nether world,66,no,0,66,스올,Sheol
libation,66,no,0,66,전제,drink offering
fortification,66,no,0,66,요새/성채,
fire offering,66,no,0,66,화제,번제/소제 등 제사 불사름
Zedekiah,65,yes,65,0,시드기야,고유명사
sack,65,no,0,65,자루/부대,
desolation,65,no,0,65,황폐/폐허,
Chaldean,65,no,0,65,갈대아 사람,
maidservant,64,no,0,64,여종,
fourth,64,no,0,64,넷째,
exile,64,no,0,64,유배/포로,
clay,64,no,0,64,진흙/점토,
beloved one,64,no,0,64,사랑하는 자,
Abner,64,yes,64,0,아브넬,고유명사
tread,63,no,0,63,밟다,
thought,63,no,0,63,생각/의도,
tenth,63,no,0,63,열째/십분의 일,
stumble,63,no,0,63,넘어지다/실족하다,
festival,63,no,0,63,절기/축제,
district,63,no,0,63,지구/구역,
despise,63,no,0,63,멸시하다/업신여기다,
<town>,63,yes,63,0,성읍,
terror,62,no,0,62,공포/두려움,
reprove,62,no,0,62,책망하다/꾸짖다,
plant,62,no,0,62,심다/식물,
Abram,62,yes,62,0,아브람,고유명사
want,61,no,0,61,원하다/부족,
smoke of sacrifice,61,no,0,61,제물의 연기,
sleep,61,no,0,61,자다/잠,
scribe,61,no,0,61,서기관,
